gbifid,anio,mes,taxonrank,scientificname,decimallatitude,decimallongitude,eventdate,individualcount,locality,stateprovince,issue,comunidad_autonoma,nombre_cientifico
3447290057,2021.0,6.0,species,"Stenella coeruleoalba (Meyen, 1833)",42.035206,4.731543,,,desconocido,desconocido,country_derived_from_coordinates,no asignado,Stenella coeruleoalba
3447290054,2021.0,6.0,family,Balaenopteridae,41.308615,5.481519,,,desconocido,desconocido,country_derived_from_coordinates,no asignado,
3447289050,2021.0,4.0,family,Hyperoodontidae,43.666731,-2.513249,,,desconocido,desconocido,country_derived_from_coordinates,no asignado,
3447287739,2021.0,4.0,family,Hyperoodontidae,43.666672,-2.437437,,,desconocido,desconocido,country_derived_from_coordinates,no asignado,
3447287170,2021.0,6.0,family,Delphinidae,40.602641,6.011833,,,desconocido,desconocido,country_derived_from_coordinates,no asignado,
3447286364,2021.0,4.0,family,Hyperoodontidae,43.666642,-2.260942,,,desconocido,desconocido,country_derived_from_coordinates,no asignado,
3447285701,2021.0,6.0,species,"Stenella coeruleoalba (Meyen, 1833)",42.022417,4.758312,,,desconocido,desconocido,country_derived_from_coordinates,no asignado,Stenella coeruleoalba
3447285691,2021.0,6.0,species,"Stenella coeruleoalba (Meyen, 1833)",42.344073,3.708665,,,desconocido,desconocido,country_derived_from_coordinates,no asignado,Stenella coeruleoalba
3447285474,2021.0,6.0,order,Cetacea,41.109671,5.637762,,,desconocido,desconocido,country_derived_from_coordinates;taxon_match_scientific_name_id_ignored,no asignado,
3447285469,2021.0,6.0,species,"Stenella coeruleoalba (Meyen, 1833)",40.972533,3.99807,,,desconocido,desconocido,country_derived_from_coordinates,no asignado,Stenella coeruleoalba
3447283692,2021.0,7.0,species,"Stenella coeruleoalba (Meyen, 1833)",42.130074,4.76695,,,desconocido,desconocido,country_derived_from_coordinates,no asignado,Stenella coeruleoalba
3447283652,2021.0,6.0,species,"Balaenoptera physalus (Linnaeus, 1758)",41.229705,5.547591,,,desconocido,desconocido,country_derived_from_coordinates,no asignado,Balaenoptera physalus
